"urban","station","temperature","elevation","isoil","oc","tsoil","row","col","dluse","water"
0.0303727481514215,0.0536181516945362,284.204772949219,484.498718261719,1.393298670882e-11,0.0125000001862645,1,1,1,19,0
0.0314523354172707,0.055464893579483,283.847564697266,485.975494384766,1.40913452781333e-11,0.0125000001862645,1,1,2,19,0
0.0324698500335217,0.0574433021247387,284.216369628906,487.878601074219,1.4311550208812e-11,0.0125000001862645,1,1,3,19,0
0.0334034450352192,0.0595679692924023,284.186981201172,564.916870117188,1.45915189653234e-11,0.0125000001862645,1,1,4,19,0
0.0284190997481346,0.0618557222187519,283.888732910156,611.203247070312,1.49291429912823e-11,0.0125000001862645,1,1,5,19,0
0.0349445194005966,0.0643260776996613,283.696197509766,628.61181640625,1.53222903115369e-11,0.0125000001862645,1,1,6,19,0
0.0350679531693459,0.0670017749071121,283.386444091797,624.691772460938,1.61119069475024e-11,0.0125000001862645,1,1,7,19,0
0.0121175972744823,0.0699095129966736,283.511657714844,568.565246582031,1.71543525911977e-11,0.0125000001862645,1,1,8,19,0
0.0364338420331478,0.0730808079242706,283.844573974609,552.15576171875,1.81959898537531e-11,0.0125000001862645,1,1,9,19,0
0.0367947183549404,0.0765531584620476,283.554565429688,618.594177246094,1.92362358680809e-11,0.0125000001862645,1,1,10,19,0
0.0371409542858601,0.0803714916110039,283.129150390625,664.530883789062,2.0274504297646e-11,0.0125000001862645,1,1,11,19,0
0.0379597060382366,0.0845901817083359,282.975219726562,649.166015625,2.13102018670197e-11,0.0125000001862645,1,1,12,19,0
0.0382284820079803,0.0892755538225174,283.414459228516,603.817138671875,2.23427318313263e-11,0.0125000001862645,1,1,13,19,0
0.0374615602195263,0.094509445130825,283.697723388672,546.492919921875,2.33714922415196e-11,0.0125000001862645,1,1,14,19,0
0.0268204528838396,0.100393980741501,283.793365478516,537.25390625,2.45530609732647e-11,0.0125000001862645,1,1,15,19,0
0.038674496114254,0.107058219611645,283.551910400391,585.437377929688,2.59266601243535e-11,0.0125000001862645,1,1,16,19,0
0.0370206162333488,0.11466770619154,283.499145507812,616.56298828125,2.7361952981142e-11,0.0125000001862645,1,1,17,19,0
0.0351735278964043,0.123438253998756,283.402709960938,620.40185546875,2.88554423411025e-11,0.0125000001862645,1,1,18,19,0
0.0333637408912182,0.133656546473503,283.246612548828,606.180541992188,3.0403596307238e-11,0.0125000001862645,1,1,19,19,0
0.0316961407661438,0.145711660385132,283.503692626953,567.54052734375,3.20028621658697e-11,0.0125000001862645,1,1,20,19,0
0.0301879867911339,0.160145059227943,283.637176513672,548.146850585938,3.36496559782962e-11,0.0125000001862645,1,1,21,19,0
0.0288584362715483,0.177732691168785,283.400787353516,552.45556640625,3.53403625807935e-11,0.0125000001862645,1,1,22,19,0
0.0276625398546457,0.199626207351685,283.332458496094,554.043212890625,3.54045785744272e-11,0.0125000001862645,1,1,23,19,0
0.0265897866338491,0.227608889341354,283.103149414062,566.123168945312,3.40476397076017e-11,0.0125000001862645,1,1,24,19,0
0.0230226404964924,0.295208096504211,282.962982177734,564.867431640625,3.25582408255976e-11,0.0125000001862645,1,1,25,19,0
0.0222458504140377,0.346846610307693,283.630249023438,565.2412109375,3.09423979494294e-11,0.0125000001862645,1,1,26,19,0
0.0213287901133299,0.422166556119919,283.454986572266,595.786010742188,2.92061652640285e-11,0.0125000001862645,1,1,27,19,0
0.00765936961397529,0.541399657726288,283.234588623047,564.002502441406,2.73556455265833e-11,0.0125000001862645,1,1,28,19,0
0.00751451449468732,0.752863466739655,283.446472167969,464.403747558594,2.53969744540283e-11,0.0125000001862645,1,1,29,19,0
0.00738609861582518,1.17181634902954,283.733581542969,401.802001953125,2.33363259272146e-11,0.0125000001862645,1,1,30,19,0
0.0065657808445394,0.0344640426337719,284.202087402344,361.168518066406,2.20109729054396e-11,0.0125000001862645,1,1,31,19,0
0.00715475855395198,1.1732223033905,284.429565429688,312.649719238281,2.10396994965167e-11,0.0125000001862645,1,1,32,19,0
0.00704215001314878,0.75567638874054,284.553375244141,273.025634765625,2.00216648815754e-11,0.0125000001862645,1,1,33,19,0
0.00651132315397263,0.545621335506439,284.910278320312,229.24821472168,1.89598892141873e-11,0.0125000001862645,1,1,34,19,0
0.000689429289195687,0.427799761295319,285.146026611328,193.336212158203,1.78574117298824e-11,0.0125000001862645,1,1,35,19,0
0.00425874534994364,0.353894829750061,285.041351318359,197.616119384766,1.67172820725314e-11,0.0125000001862645,1,1,36,19,0
0.0042246151715517,0.303675413131714,284.877044677734,213.595367431641,1.55425637637929e-11,0.0125000001862645,1,1,37,19,0
0.00417454028502107,0.267544656991959,285.042053222656,203.823883056641,1.43363342031133e-11,0.0125000001862645,1,1,38,19,0
0.00411015329882503,0.275934249162674,285.244201660156,185.292907714844,1.40578312879391e-11,0.0125000001862645,1,1,39,19,0
0.00403344631195068,0.2558673620224,285.187164306641,170.515716552734,1.39632949300306e-11,0.0125000001862645,1,1,40,19,0
0.00394366076216102,0.240177780389786,285.200256347656,167.457794189453,1.38640860944395e-11,0.0125000001862645,1,1,41,19,0
0.00384904979728162,0.227716818451881,285.398040771484,175.858001708984,1.37601119734598e-11,0.0125000001862645,1,1,42,19,0
0.0037486779037863,0.217711672186852,285.462646484375,216.628677368164,1.36512806267475e-11,0.0125000001862645,1,1,43,19,0
0.00364451482892036,0.209624096751213,284.990051269531,277.962890625,1.35375001139582e-11,0.0125000001862645,1,1,44,19,0
0.00353829306550324,0.203068375587463,284.700012207031,298.31591796875,1.34186784947476e-11,0.0125000001862645,1,1,45,19,0
